customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_group
CUST0001,Male,0,No,No,50,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,Two year,No,Credit card,43.83,2192.25,,49-60
CUST0002,Female,0,No,Yes,46,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,105.11,4833.94,,37-48
CUST0003,Male,0,No,Yes,3,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,75.72,229.85,,0-12
CUST0004,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer,40.68,250.63,,0-12
CUST0005,Male,0,Yes,No,34,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No,Two year,No,Credit card,82.35,2798.45,,25-36
CUST0006,Female,0,Yes,No,47,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card,55.77,2624.01,,37-48
CUST0007,Male,1,No,No,72,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,104.44,7528.75,,61-72
CUST0008,Male,0,Yes,No,71,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,65.33,4645.22,,61-72
CUST0009,Male,1,No,No,44,Yes,Yes,DSL,No,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,92.64,4074.68,,37-48
CUST0010,Female,0,Yes,No,71,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Electronic check,29.55,2100.94,,61-72
CUST0011,Male,0,No,No,18,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card,59.6,1066.34,,13-24
CUST0012,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer,118.32,7337.05,,61-72
CUST0013,Male,1,Yes,No,37,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,100.85,3741.08,,37-48
CUST0014,Male,1,Yes,Yes,66,Yes,No,DSL,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Mailed check,35.99,2375.71,,61-72
CUST0015,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Two year,No,Bank transfer,47.78,2779.79,,49-60
CUST0016,Male,0,No,No,68,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,52.98,3600.79,,61-72
CUST0017,Female,0,Yes,No,12,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Two year,No,Electronic check,85.04,1030.46,,0-12
CUST0018,Female,0,Yes,Yes,46,Yes,No phone service,No,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,95.7,4403.78,,37-48
CUST0019,Female,1,No,Yes,60,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,94.95,5687.85,,49-60
CUST0020,Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.99,2131.44,,25-36
CUST0021,Female,0,No,No,21,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Credit card,101.08,2118.17,,13-24
CUST0022,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,63.71,2666.47,,37-48
CUST0023,Female,1,No,No,66,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,32.39,2144.16,,61-72
CUST0024,Female,0,No,No,53,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card,76.44,4046.83,,49-60
CUST0025,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,115.23,1043.0,,0-12
CUST0026,Female,0,Yes,Yes,41,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,99.3,4067.06,,37-48
CUST0027,Female,0,Yes,Yes,63,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,77.87,4899.7,,61-72
CUST0028,Female,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,84.68,1703.08,,13-24
CUST0029,Female,0,Yes,No,65,No,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card,113.06,7346.13,,61-72
CUST0030,Female,1,Yes,No,40,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer,62.83,2515.23,,37-48
CUST0031,Male,0,Yes,Yes,23,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,One year,Yes,Bank transfer,53.14,1224.42,,13-24
CUST0032,Male,1,No,Yes,34,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,117.72,4003.69,,25-36
CUST0033,Female,1,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,106.34,5856.99,,49-60
CUST0034,Female,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Credit card,52.3,1520.19,,25-36
CUST0035,Female,0,No,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No,Two year,No,Mailed check,66.38,3715.35,,49-60
CUST0036,Male,1,Yes,Yes,46,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,No,Two year,No,Credit card,61.51,2836.71,,37-48
CUST0037,Female,0,Yes,No,34,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,34.91,1180.56,,25-36
CUST0038,Male,0,No,No,18,Yes,No,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,115.78,2084.92,,13-24
CUST0039,Male,0,Yes,No,7,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,No,Bank transfer,60.43,432.02,,0-12
CUST0040,Male,0,Yes,Yes,25,Yes,No,No,No internet service,No,No,No,No internet service,No,Month-to-month,No,Electronic check,107.53,2690.76,,25-36
CUST0041,Male,1,Yes,No,70,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,38.94,2732.14,,61-72
CUST0042,Male,0,No,No,29,No,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,74.79,2171.98,,25-36
CUST0043,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,22.4,141.19,,0-12
CUST0044,Female,0,Yes,No,66,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Two year,No,Credit card,96.42,6372.61,,61-72
CUST0045,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card,78.09,4993.22,,61-72
CUST0046,Female,0,Yes,Yes,35,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card,82.56,2882.99,,25-36
CUST0047,Female,0,No,No,24,Yes,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Bank transfer,25.17,603.76,,13-24
CUST0048,Male,0,No,No,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,41.1,1483.64,,25-36
CUST0049,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,27.43,-5.46,,
CUST0050,Female,0,No,No,14,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Electronic check,48.89,674.54,,13-24
CUST0051,Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer,82.74,2975.5,,25-36
CUST0052,Female,1,Yes,No,12,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,76.62,928.82,,0-12
CUST0053,Male,0,No,Yes,7,Yes,No,No,No internet service,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,81.21,572.37,,0-12
CUST0054,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,74.93,297.75,,0-12
CUST0055,Male,1,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,47.3,2784.55,,49-60
CUST0056,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.45,3197.52,,61-72
CUST0057,Female,0,Yes,No,0,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,33.71,-6.6,,
CUST0058,Male,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No internet service,Two year,Yes,Bank transfer,104.91,3663.98,,25-36
CUST0059,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Two year,No,Electronic check,81.65,2784.23,,25-36
CUST0060,Male,0,No,Yes,65,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,38.65,2522.2,,61-72
CUST0061,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,37.72,2331.92,,61-72
CUST0062,Male,0,No,Yes,22,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No,One year,Yes,Electronic check,107.3,2351.69,,13-24
CUST0063,Male,0,No,No,8,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,94.27,750.75,,0-12
CUST0064,Male,0,No,Yes,33,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,85.94,2835.25,,25-36
CUST0065,Male,0,No,Yes,45,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer,60.69,2725.15,,37-48
CUST0066,Female,0,No,Yes,3,No,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer,46.2,134.63,,0-12
CUST0067,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,117.95,3414.57,,25-36
CUST0068,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,99.72,7085.61,,61-72
CUST0069,Female,1,No,No,2,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,50.18,104.61,,0-12
CUST0070,Female,0,No,No,13,Yes,No phone service,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,104.76,1364.58,,13-24
CUST0071,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,95.89,5655.25,,49-60
CUST0072,Female,0,No,Yes,44,Yes,Yes,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,49.71,2195.42,,37-48
CUST0073,Male,0,Yes,Yes,33,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card,62.66,2077.17,,25-36
CUST0074,Female,0,Yes,Yes,44,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,38.6,1691.87,,37-48
CUST0075,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer,31.11,1861.06,,49-60
CUST0076,Female,1,No,Yes,15,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card,92.28,1384.71,,13-24
CUST0077,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Bank transfer,46.75,3030.58,,61-72
