customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST0001,Male,0,No,No,50,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,Two year,No,Credit card,43.83,2192.25,No
CUST0002,Female,0,No,Yes,46,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,105.11,4833.94,No
CUST0003,Male,0,No,Yes,3,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,75.72,229.85,No
CUST0004,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer,40.68,250.63,Yes
CUST0005,Male,0,Yes,No,34,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No,Two year,No,Credit card,82.35,2798.45,No
CUST0006,Female,0,Yes,No,47,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card,55.77,2624.01,Yes
CUST0007,Male,1,No,No,72,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,104.44,7528.75,No
CUST0008,Male,0,Yes,No,71,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,65.33,4645.22,Yes
CUST0009,Male,1,No,No,44,Yes,Yes,DSL,No,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,92.64,4074.68,No
CUST0010,Female,0,Yes,No,71,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Electronic check,29.55,2100.94,No
CUST0011,Male,0,No,No,18,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card,59.6,1066.34,Yes
CUST0012,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer,118.32,7337.05,Yes
CUST0013,Male,1,Yes,No,37,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,100.85,3741.08,No
CUST0014,Male,1,Yes,Yes,66,Yes,No,DSL,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Mailed check,35.99,2375.71,No
CUST0015,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Two year,No,Bank transfer,47.78,2779.79,No
CUST0016,Male,0,No,No,68,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,52.98,3600.79,No
CUST0017,Female,0,Yes,No,12,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Two year,No,Electronic check,85.04,1030.46,Yes
CUST0018,Female,0,Yes,Yes,46,Yes,No phone service,No,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,95.7,4403.78,No
CUST0019,Female,1,No,Yes,60,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,94.95,5687.85,Yes
CUST0020,Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.99,2131.44,No
CUST0021,Female,0,No,No,21,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Credit card,101.08,2118.17,No
CUST0022,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,63.71,2666.47,No
CUST0023,Female,1,No,No,66,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,32.39,2144.16,No
CUST0024,Female,0,No,No,53,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card,76.44,4046.83,No
CUST0025,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,115.23,1043.0,Yes
CUST0026,Female,0,Yes,Yes,41,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,99.3,4067.06,No
CUST0027,Female,0,Yes,Yes,63,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,77.87,4899.7,Yes
CUST0028,Female,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,84.68,1703.08,No
CUST0029,Female,0,Yes,No,65,No,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card,113.06,7346.13,No
CUST0030,Female,1,Yes,No,40,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer,62.83,2515.23,No
